player,posteam,redzone_targets,redzone_carries,redzone_touches,redzone_target_share,second_half_tds,scored_back_half,rank,view,group
C.McCaffrey,SF,12,31,43,0.4,13,True,1,touches,top20
J.Taylor,IND,4,38,42,0.0920138888888889,6,True,2,touches,top20
J.Jacobs,GB,0,35,35,0.0,5,True,3,touches,top20
J.Gibbs,DET,6,29,35,0.1388888888888889,11,True,4,touches,top20
J.Williams,DAL,8,26,34,0.15625,9,True,5,touches,top20
C.Skattebo,NYG,4,24,28,0.14285714285714285,0,False,6,touches,top20
K.Williams,LA,7,18,25,0.1425925925925926,15,True,7,touches,top20
J.Cook,BUF,2,23,25,0.051587301587301584,7,True,8,touches,top20
S.Barkley,PHI,5,20,25,0.23628117913832197,3,True,9,touches,top20
A.Jeanty,LV,6,18,24,0.17857142857142858,6,True,10,touches,top20
D.Henry,BAL,0,22,22,0.0,10,True,11,touches,top20
D.Swift,CHI,0,22,22,0.0,6,True,12,touches,top20
Z.Charbonnet,SEA,1,21,22,0.03333333333333333,7,True,13,touches,top20
D.Achane,MIA,6,16,22,0.14024943310657595,5,True,14,touches,top20
C.Brown,CIN,4,17,21,0.10255102040816326,8,True,15,touches,top20
B.Robinson,ATL,7,14,21,0.3547619047619048,9,True,16,touches,top20
K.Vidal,LAC,4,17,21,0.08712121212121213,2,True,17,touches,top20
Q.Judkins,CLE,0,20,20,0.0,2,True,18,touches,top20
R.Stevenson,NE,2,18,20,0.05208333333333333,7,True,19,touches,top20
T.Etienne,JAX,4,15,19,0.09696969696969697,11,True,20,touches,top20
B.Robinson,SF,1,2,3,0.1111111111111111,9,True,215,touches,control
Z.Scott,MIN,2,2,4,0.1111111111111111,0,False,178,touches,control
N.Westbrook-Ikhine,MIA,2,0,2,0.2222222222222222,0,False,246,touches,control
H.Long,JAX,3,0,3,0.45,0,False,229,touches,control
J.Bates,WAS,1,0,1,0.5,1,True,339,touches,control
S.Miller,PIT,1,0,1,0.14285714285714285,0,False,350,touches,control
J.Williams,DET,1,0,1,0.1111111111111111,9,True,340,touches,control
D.Robinson,SF,2,0,2,0.2,2,True,281,touches,control
T.Tucker,LV,5,1,6,0.2589285714285714,1,True,135,touches,control
K.Bourne,SF,2,0,2,0.26666666666666666,0,False,241,touches,control
K.Lambert-Smith,LAC,1,0,1,0.08333333333333333,2,True,331,touches,control
D.Brown,JAX,6,0,6,0.30757575757575756,0,False,125,touches,control
J.Nailor,MIN,9,0,9,0.29555555555555557,3,True,63,touches,control
C.Dike,TEN,6,1,7,0.4222222222222222,3,True,111,touches,control
N.Harris,LAC,0,1,1,0.0,0,False,321,touches,control
J.Ford,CLE,4,4,8,0.25555555555555554,0,False,84,touches,control
M.Andrews,BAL,4,2,6,0.21250000000000002,4,True,131,touches,control
